sample_id,depth_m,lithology,porosity,permeability
SMP-001,1564.1,Shale,0.2098,2118.16
SMP-002,1354.9,Sandstone,0.1717,351.04
SMP-003,2501.2,Limestone,0.2189,926.69
SMP-004,2613.7,Sandstone,0.2714,3000.0
SMP-005,2981.0,Dolomite,0.166,243.65
SMP-006,1825.2,Limestone,0.166,60.58
SMP-007,1744.0,Sandstone,0.2748,3000.0
SMP-008,2552.8,Limestone,0.226,3000.0
SMP-009,1681.6,Limestone,0.1518,15.33
SMP-010,2861.5,Sandstone,0.2126,3000.0
SMP-011,2716.8,Sandstone,0.1522,21.06
SMP-012,1858.0,Limestone,0.1521,238.5
SMP-013,2501.7,Limestone,0.1945,3000.0
SMP-014,2509.1,Shale,0.0652,0.32
SMP-015,1206.2,Limestone,0.0765,6.62
SMP-016,2805.1,Shale,0.1463,106.03
SMP-017,2010.5,Limestone,0.1192,47.46
SMP-018,2652.9,Limestone,0.1989,3000.0
SMP-019,1640.1,Shale,0.1255,14.93
SMP-020,2791.0,Limestone,0.0953,1.6
SMP-021,1778.4,Sandstone,0.2679,3000.0
SMP-022,1021.7,Sandstone,0.1665,54.01
SMP-023,2810.8,Shale,0.1841,365.49
SMP-024,1182.6,Limestone,0.0945,6.98
SMP-025,1638.6,Shale,0.1473,92.77
SMP-026,2900.1,Sandstone,0.1867,1454.55
SMP-027,2901.2,Sandstone,0.1109,10.2
SMP-028,2146.9,Sandstone,0.2025,3000.0
SMP-029,2263.7,Sandstone,0.144,37.01
SMP-030,1896.9,Limestone,0.1625,3000.0
SMP-031,1586.4,Sandstone,0.1439,126.23
SMP-032,1657.3,Limestone,0.2911,3000.0
SMP-033,2345.0,Dolomite,0.1792,72.38
SMP-034,2504.7,Sandstone,0.1165,25.9
SMP-035,2583.2,Limestone,0.2294,2962.66
SMP-036,2579.2,Shale,0.1067,21.72
SMP-037,1182.4,Sandstone,0.1925,1201.28
SMP-038,1988.8,Limestone,0.0624,0.78
SMP-039,1115.1,Shale,0.1003,1.81
SMP-040,2099.1,Dolomite,0.1918,74.29
SMP-041,1883.1,Sandstone,0.2243,1686.04
SMP-042,2775.4,Dolomite,0.1903,1819.89
SMP-043,1701.8,Limestone,0.1731,313.18
SMP-044,1234.1,Sandstone,0.1619,23.72
SMP-045,1286.0,Limestone,0.0913,4.7
SMP-046,2523.0,Dolomite,0.1368,63.24
SMP-047,2236.4,Limestone,0.1524,24.08
SMP-048,1202.2,Sandstone,0.2434,3000.0
SMP-049,1168.2,Limestone,0.2006,1019.77
SMP-050,2401.9,Sandstone,0.0742,0.32
SMP-051,1145.5,Sandstone,0.1994,1453.66
SMP-052,2643.7,Sandstone,0.1569,222.93
SMP-053,2412.5,Sandstone,0.1394,188.93
SMP-054,1162.7,Sandstone,0.2167,3000.0
SMP-055,1169.7,Sandstone,0.2419,1133.23
SMP-056,2973.3,Limestone,0.2359,1536.72
SMP-057,1748.5,Sandstone,0.1296,52.63
SMP-058,1741.3,Sandstone,0.1614,263.09
SMP-059,2625.6,Shale,0.1999,1846.27
SMP-060,2894.5,Limestone,0.2385,3000.0
SMP-061,2972.0,Limestone,0.1512,169.83
SMP-062,2506.8,Sandstone,0.1689,904.21
SMP-063,1752.5,Sandstone,0.1136,42.86
SMP-064,1167.0,Sandstone,0.1082,21.47
SMP-065,2554.3,Sandstone,0.2288,2531.47
SMP-066,2116.8,Sandstone,0.2614,3000.0
SMP-067,1848.4,Sandstone,0.1757,91.46
SMP-068,2812.7,Sandstone,0.2402,3000.0
SMP-069,1222.4,Sandstone,0.2017,508.32
SMP-070,1985.3,Limestone,0.1413,52.19
